Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
903801	Special Order Items	McCormick Rum Silver	300	McCormick Distilling Co.	1000	12	1	0	80	06/03/2003	84279970936	10085592105132	4.33	51.96	6.50	10/01/2021
88185	100% Agave Tequila	Olmeca Altos Plata	370	PERNOD RICARD USA	375	24	1	0	80	05/01/2016	80432108260	10085592105132	7.49	179.76	11.24	10/01/2021
77668	American Flavored Vodka	Smirnoff Grape DISCO	260	DIAGEO AMERICAS	750	12	1	0	70	06/01/2015	80432108260	82000769156	8.25	99.00	12.38	10/01/2021
48178	Temporary & Specialty Packages	Hennessy VS Ryan McGinness	420	MOET HENNESSY USA	750	12	1	0	80	08/01/2015	81753826703	86767700780	19.49	233.88	29.24	10/01/2021
906066	Special Order Items	Few Bourbon	368	Park Street Imports	750	6	1	0	93	04/25/2014	81753827991	10738435750531	24.17	145.02	36.26	10/01/2021
901145	Special Order Items	Nut Chocolate	885	YAHARA BAY DISTILLERS INC	200	6	1	0	44	04/19/2012	81753827991	10892060102636	7.92	47.48	11.88	10/01/2021
65066	Imported Schnapps	Goldschlager Cinnamon Schnapps	421	SAZERAC COMPANY  INC	750	12	1	0	87	11/01/1993	81753827991	86767700735	13.00	156.00	19.50	10/01/2021
902506	Special Order Items	Hiram Walker Creme de Cacao Dark 3pk	370	PERNOD RICARD USA	750	3	1	0	30	12/01/1995	81753827991	89540482033	3.90	11.69	5.85	10/01/2021
903803	Straight Rye Whiskies	HA Thomas Handy Rye 2020	421	SAZERAC COMPANY  INC	750	3	1	0	129	10/08/2008	88004000035	89540482033	50.00	150.00	75.00	10/01/2021
88186	100% Agave Tequila	Olmeca Altos Plata	370	PERNOD RICARD USA	750	6	1	0	80	06/01/2013	80432106846	89540482033	14.99	89.94	22.49	10/01/2021
77674	American Flavored Vodka	Smirnoff Green Apple	260	DIAGEO AMERICAS	750	12	1	0	70	07/01/2014	80432106846	82000768111	8.25	98.99	12.38	10/01/2021
48181	Temporary & Specialty Packages	Hennessy VS Scott Campbell	420	MOET HENNESSY USA	750	12	1	0	80	08/01/2016	81753827991	82000769156	19.49	233.88	29.24	10/01/2021
906067	Special Order Items	Few American Gin	368	Park Street Imports	750	6	1	0	80	04/25/2014	80432106846	10738435750517	17.84	107.04	26.76	10/01/2021
901146	Special Order Items	Nut Chocolate	885	YAHARA BAY DISTILLERS INC	100	6	1	0	44	04/19/2012	80432106846	10892060102629	5.97	35.80	8.96	10/01/2021
903806	Special Order Items	Seagrams Platinum Vodka	255	Infinium Spirits	750	12	1	0	100	12/01/2004	80432106846	10720815984537	5.38	64.55	8.07	10/01/2021
902516	Special Order Items	Greenore 8YR DISCO	065	Jim Beam Brands	750	6	1	0	80	01/14/2009	86024000042	10720815984537	26.24	157.44	39.36	10/01/2021
906094	Single Malt Scotch	Spey River	313	Vision Wine & Spirit LLC	750	6	1	0	80	03/01/2016	86024000042	50103279259768	23.34	140.04	35.01	10/01/2021
901147	Special Order Items	Nut Chocolate Mini	885	YAHARA BAY DISTILLERS INC	50	6	1	0	44	04/19/2012	86024000042	10892060102612	4.32	25.90	6.48	10/01/2021
77683	American Flavored Vodka	Smirnoff Kissed Caramel	260	DIAGEO AMERICAS	750	12	1	0	60	12/01/2014	86024000042	82000768531	8.25	98.99	12.38	10/01/2021
901155	Special Order Items	Wild Rose Liqueur	885	YAHARA BAY DISTILLERS INC	750	3	1	0	36	04/20/2012	86024000042	10892060104579	16.65	49.93	24.98	10/01/2021
906099	Single Malt Scotch	Speyburn Arranta Casks	391	HOTALING & CO	750	6	1	0	92	01/01/2016	86024000042	10632070100914	20.79	124.74	31.19	10/01/2021
49084	Imported Brandies	Remy Martin 1738 Accord Royal	389	REMY COINTREAU USA INC	375	12	1	0	80	09/01/2009	86024000042	10087236002838	13.82	165.84	20.73	10/01/2021
88188	100% Agave Tequila	Olmeca Altos Plata	370	PERNOD RICARD USA	1750	6	1	0	80	05/01/2016	80432108253	10087236002838	24.98	149.88	37.47	10/01/2021
902518	Special Order Items	Chambord Liqueur Minis	085	Brown Forman Corp.	50	6	12	0	33	12/15/1995	83300234733	10087236002838	23.94	143.64	35.91	10/01/2021
65090	Imported Cordials & Liqueurs	Grand Marnier Centenaire (100)	619	Campari America	750	6	1	0	80	10/01/2017	86767500069	10087236002838	99.99	599.94	149.99	10/01/2021
901156	Special Order Items	Wild Rose Liqueur	885	YAHARA BAY DISTILLERS INC	375	6	1	0	36	04/20/2012	86767500069	10892060104562	9.75	58.48	14.63	10/01/2021
906105	Single Malt Scotch	Speyburn 10YR	391	HOTALING & CO	750	6	1	0	86	03/01/2016	86767500069	10632070100105	17.50	105.00	26.25	10/01/2021
903808	Special Order Items	Whalers Killer Coconut Rum	259	Heaven Hill Brands	750	12	1	0	40	12/20/2004	86767500069	10677053318504	6.95	83.29	10.43	10/01/2021
77688	American Flavored Vodka	Smirnoff Lime	260	DIAGEO AMERICAS	750	12	1	0	70	10/01/2014	86767500069	82000769101	8.25	98.99	12.38	10/01/2021
901157	Special Order Items	Wild Rose Liqueur	885	YAHARA BAY DISTILLERS INC	200	6	1	0	36	04/20/2012	86767500069	10892060104555	7.67	45.98	11.51	10/01/2021
906148	Single Malt Scotch	Spinnaker-Speyside Single Malt Scotch Whiskey	313	Vision Wine & Spirit LLC	750	6	1	0	80	02/01/2016	86767500069	5010327925981	26.66	159.96	39.99	10/01/2021
88290	100% Agave Tequila	Patron Silver	035	BACARDI USA INC	200	12	1	0	80	07/01/2010	86767500069	20721733001105	9.50	114.00	14.25	10/01/2021
906196	Scotch Whiskies	HA Talisker Storm	260	DIAGEO AMERICAS	750	6	1	0	92	07/01/2016	88076179028	20721733001105	45.00	270.00	67.50	10/01/2021
901158	Special Order Items	Wild Rose Liqueur	885	YAHARA BAY DISTILLERS INC	100	6	1	0	36	04/20/2012	88076179028	10892060104548	5.84	35.02	8.76	10/01/2021
906266	Special Order Items	Tamdhu 10YR DISCO	460	Shaw-Ross International	750	6	1	0	86	03/07/2014	88076179028	10892032003060	35.84	215.00	53.76	10/01/2021
901159	Special Order Items	Wild Rose Liqueur Mini	885	YAHARA BAY DISTILLERS INC	50	6	1	0	36	04/20/2012	88076179028	10892060104531	4.26	25.54	6.39	10/01/2021
49086	Imported Brandies	Remy Martin 1738 Accord Royal	389	REMY COINTREAU USA INC	750	6	1	0	80	04/01/2008	87236002114	10892060104531	29.98	179.88	44.97	10/01/2021
906278	Scotch Whiskies	HA The Cally 40YR	260	DIAGEO AMERICAS	750	6	1	40	107	01/01/2016	88076180314	10892060104531	674.16	4044.96	1011.24	10/01/2021
901167	Special Order Items	Williams Pear Brandy	885	YAHARA BAY DISTILLERS INC	750	3	1	0	86	04/20/2012	88076180314	10892060104159	21.03	63.07	31.55	10/01/2021
906315	Scotch Whiskies	Tomatin Scotch Whisky 14 YR	380	Phillips Beverage	750	6	1	14	92	09/01/2016	84279994147	10892060104159	45.84	275.04	68.76	10/01/2021
901168	Special Order Items	Williams Pear Brandy	885	YAHARA BAY DISTILLERS INC	375	6	1	0	86	04/20/2012	84279994147	10892060104142	11.95	71.68	17.93	10/01/2021
901169	Special Order Items	Williams Pear Brandy	885	YAHARA BAY DISTILLERS INC	200	6	1	0	86	04/20/2012	84279994147	10892060104135	8.84	53.00	13.26	10/01/2021
906317	Special Order Items	Tomatin Single Malt Scotch 18yr	380	Phillips Beverage	750	6	1	0	92	04/11/2013	84279976181	10892060104135	60.00	360.00	90.00	10/01/2021
901170	Special Order Items	Williams Pear Brandy	885	YAHARA BAY DISTILLERS INC	100	6	1	0	86	04/20/2012	84279976181	10892060104128	6.43	38.54	9.65	10/01/2021
49156	Imported Brandies	Remy Martin XO Excellence	389	REMY COINTREAU USA INC	750	12	1	0	80	11/01/2002	87236002336	10892060104128	99.93	1199.16	149.90	10/01/2021
903809	Special Order Items	Chivas Regal 12YR Mini	370	PERNOD RICARD USA	603	10	1	0	86	03/14/1995	87236002336	10080432402501	15.96	159.55	23.94	10/01/2021
