Store	Name	Store Status	Address	City	State	Zip Code	Store Address	Report Date
5209	Kwik Stop #848 / Dubuque	A	3201 Central Ave	Dubuque	IA	52001	POINT (-90.683052 42.527726)	10/01/2021
5230	Point Liquor & Tobacco	A	3221, Center Point Rd NE	Cedar Rapids	IA	52402	POINT (-91.663629 42.01133)	10/01/2021
3670	Wal-Mart 2827 / Coralville	A	2801 Commerce Dr	Coralville	IA	52241	POINT (-91.610774 41.695806)	10/01/2021
5379	Yesway Store # 1036/ Kanawha	A	102 North Main Street	Kanawha	IA	50447	POINT (-93.793182 42.934461)	10/01/2021
5751	Casey's General Store #2346 / Burlington	A	2630 Summer St	Burlington	IA	52601	POINT (-91.117485 40.780118)	10/01/2021
6061	Brooklyn Grocery	A	122 E Front St	Brooklyn	IA	52211	POINT (-92.444377 41.728699)	10/01/2021
4459	Kum & Go #544 / Eagle Grove	A	1120 S Commercial	Eagle Grove	IA	50533	POINT (-93.9044 42.653973)	10/01/2021
4843	Stewart Road Fast Break	A	2418 Stewart Rd	Muscatine	IA	52761	POINT (-91.07265200000002 41.390911)	10/01/2021
5354	Kimmes Wall Lake	A	129 Center Street	Wall Lake	IA	51466	POINT (-95.090639 42.271309)	10/01/2021
5826	Casey's General Store #2595 / Keokuk	A	326 Main St	Keokuk	IA	52632	POINT (-91.382267 40.394752)	10/01/2021
2130	Sycamore Convenience	A	617 Sycamore	Waterloo	IA	50703	POINT (-92.335358 42.497854)	10/01/2021
5539	Casey's General Store #1901 / Des Moines	A	2541 NW 66th Ave	Des Moines	IA	50313	POINT (-93.653318 41.680398)	10/01/2021
4617	Lickety Liquor	A	2501 HUBBELL AVE	Des Moines	IA	50317	POINT (-93.570489 41.607817)	10/01/2021
5003	Famous Liquors	A	2604 W Locust St	Davenport	IA	52804	POINT (-90.615542 41.538186)	10/01/2021
3993	New Star Liquor / W 4th S / Waterloo	A	1625 West 4th St	Waterloo	IA	50701	POINT (-92.356479 42.484351)	10/01/2021
2621	Hy-Vee Food Store #3 / Sioux City	A	3301 Gordon Dr	Sioux City	IA	51105	POINT (-96.364108 42.487752)	10/01/2021
5912	A A and M Inc / Perry	A	605 1st Ave	Perry	IA	50220	POINT (-94.106583 41.83359)	10/01/2021
6095	Liquor Tobacco Outlet / Fort Dodge	A	902 1st Ave N	Fort Dodge	IA	50501	POINT (-94.186138 42.506332)	10/01/2021
3417	Big G Food Store	A	Po Box 261  310 W Dillon	Marengo	IA	52301		10/01/2021
5401	Clinton Gas & Mart	I	716 S 4th St.	Clinton	IA	52732	POINT (-90.193204 41.838281)	10/01/2021
5927	goPuff / Ames	A	615 S Dayton Ave	Ames	IA	50010	POINT (-93.581305 42.016041)	10/01/2021
4925	Kum & Go #574 / Urbandale	I	8600 Meredith Dr	Urbandale	IA	50266	POINT (-93.736973 41.643799)	10/01/2021
3831	The Market Of Madrid	A	301 Annex Rd	Madrid	IA	50156	POINT (-93.815365 41.87894000000001)	10/01/2021
5075	Pronto Market  / New Sharon	I	202, S Main St	New Sharon	IA	50207	POINT (-92.651525 41.468516)	10/01/2021
4623	Casey's General Store #1493 / Van Meter	A	700 Debra Dr	Van Meter	IA	50261	POINT (-93.951253 41.533177)	10/01/2021
3970	The Liquor Cabinet, Inc.	I	835 6 ST, STE 1	Nevada	IA	50201	POINT (-93.452277 42.019292)	10/01/2021
4357	Kum & Go #125 / Story City	I	527 PARK AVE	Story City	IA	50248	POINT (-93.597789 42.186722)	10/01/2021
4134	Pleasantville Grocery	I	105 W Monroe St	Pleasantville	IA	50225	POINT (-93.269702 41.386718)	10/01/2021
6196	goPuff / North Liberty	A	415 Community Drive	North Liberty	IA	52317	POINT (-91.606306 41.751471)	10/01/2021
5783	Casey's General Store #2319 / Ft Madison	A	1428 38th St	Fort Madison	IA	52627	POINT (-91.36180200000001 40.624094)	10/01/2021
5604	Casey's General Store #1599 / Mt Vernon	A	323 Hwy 30 W	Mount Vernon	IA	52314	POINT (-91.424811 41.916229)	10/01/2021
5342	Casey's General Store # 3509/ Carter Lake	A	1650 E Locust St	Carter Lake	IA	51510	POINT (-95.910056 41.284953)	10/01/2021
4289	Fareway Stores #062 / Waukon	A	777  11th Ave SW	Waukon	IA	52172	POINT (-91.484321 43.256623)	10/01/2021
5503	Rolfe Area Market	I	412 Garfield St	Rolfe	IA	50581	POINT (-94.52788900000002 42.814369)	10/01/2021
3542	Chuck's Sportsmans Beverage	A	244 W 4TH ST	St Ansgar	IA	50472	POINT (-92.921298 43.378499)	10/01/2021
4380	Kum & Go #254 / West Branch	A	620 S Downey St	West Branch	IA	52358	POINT (-91.346676 41.668271)	10/01/2021
5113	Ray's Supermarket, Inc.	A	1975 Franklin St	Waterloo	IA	50703	POINT (-92.315215 42.495394)	10/01/2021
2713	Hy-Vee Dyersville Dollar Fresh	A	1201 12th Ave SE	Dyersville	IA	52040	POINT (-91.110798 42.475283)	10/01/2021
4260	Fareway Stores #699 / Osceola	A	215 S Main St	Osceola	IA	50213	POINT (-93.765695 41.032474)	10/01/2021
5246	Casey's General Store #3476 / Forest	A	1132 HWY  69 SOUTH	Forest City	IA	50436	POINT (-93.6372 43.249459)	10/01/2021
4799	Walgreens #05777 / Des Moines	A	2930 E University Ave	Des Moines	IA	50317	POINT (-93.559285 41.600575)	10/01/2021
4601	Kum & Go #4110 / Guthrie DM	A	2110 Guthrie Ave	Des Moines	IA	50317	POINT (-93.578778 41.61508)	10/01/2021
4967	Jeff's Market / Blue Grass	A	102, W Mayne St	Blue Grass	IA	52726	POINT (-90.766126 41.509119)	10/01/2021
5295	Yesway Store # 10023/ Waterloo	A	117 San Marnan Dr E	Waterloo	IA	50702	POINT (-92.355753 42.457847)	10/01/2021
5306	Fas Mart # 5159/ Dubuque	A	2175 Central Avenue	Dubuque	IA	52001	POINT (-90.67095200000001 42.512915)	10/01/2021
2200	Sac Liquor Store	A	619 E Main St	Sac City	IA	50583	POINT (-94.974011 42.421341)	10/01/2021
6008	Target Store T-3374 / Iowa City	A	113 E Washington St	Iowa City	IA	52240	POINT (-91.533956 41.660078)	10/01/2021
5516	Quik N Handi III	A	710 Washburn Ave	Lamont	IA	50650	POINT (-91.647575 42.600544)	10/01/2021
4848	Kum & Go #246 / Winterset	A	111 E Jefferson St	Winterset	IA	50273	POINT (-94.012692 41.335457)	10/01/2021
5599	Kwik Stop 4	A	515 Broadway St	Waterloo	IA	50703	POINT (-92.345106 42.510792)	10/01/2021
5235	Kum & Go #540 / Waukee	A	3105 Grand Prairie Pkwy	Waukee	IA	50263	POINT (-93.85358 41.574209)	10/01/2021
5482	Iowa Mini Mart	A	234 W 3rd St	Davenport	IA	52801	POINT (-90.576054 41.522413)	10/01/2021
5419	Casey's General Store # 3604/Hinton	A	121 N Floyd Ave	Hinton	IA	51024	POINT (-96.291721 42.627552)	10/01/2021
3849	Hartig Drug Co #6 / Dyersville	A	711  16th Ave SE	Dyersville	IA	52040	POINT (-91.116087 42.470285)	10/01/2021
3845	Otho Convenience and Food	A	210 North Hwy	Otho	IA	50569	POINT (-94.150427 42.422303)	10/01/2021
2536	HY-VEE / PLEASANT HILL	A	4815 Maple Drive	Pleasant Hill	IA	50317	POINT (-93.519187 41.598109)	10/01/2021
5466	Southside Tobacco & Liquor	A	2424 SW 9th St #1	Des Moines	IA	50315	POINT (-93.624729 41.56373)	10/01/2021
4919	Kum & Go #4084 / Altoona	I	101 8th St SW	Altoona	IA	50009	POINT (-93.464905 41.64404)	10/01/2021
5567	Kum & Go #504 / Iowa City	A	1310 S Gilbert St	Iowa City	IA	52240	POINT (-91.532001 41.646137)	10/01/2021
5118	Kwik Stop #82  /  Peosta	A	185, Peosta St	Peosta	IA	52068	POINT (-90.850388 42.44288800000001)	10/01/2021
4160	Fareway Stores #034 / Iowa City	A	2765 Commerce Dr	Iowa City	IA	52240	POINT (-91.48043 41.629617)	10/01/2021
5847	Moti's Food	A	1717 West 3rd Street	Davenport	IA	52802	POINT (-90.601884 41.522305)	10/01/2021
4183	Fareway Stores #589 / Decorah	A	103 E Main	Decorah	IA	52101	POINT (-91.785286 43.303291)	10/01/2021
2651	Hy-Vee / Waverly	A	1311 4 Street SW	Waverly	IA	50677	POINT (-92.475403 42.712263)	10/01/2021
5546	Casey's General Store #2341 / Newton	A	3104 1st Ave E	Newton	IA	50208	POINT (-93.013639 41.699186)	10/01/2021
5678	Save More / Davenport	A	405 E Locust St	Davenport	IA	52803	POINT (-90.568875 41.538264)	10/01/2021
4114	After 5 Somewhere	A	704 W 7th St Po Box 372	Atlantic	IA	50022		10/01/2021
5997	Casey's General Store #1714 / Fairfield	A	1901 W Burlington Ave	Fairfield	IA	52556	POINT (-91.983308 41.006444)	10/01/2021
4952	Sub Express & Gas	I	4307 W Locust St	Davenport	IA	52804	POINT (-90.637353 41.538148)	10/01/2021
5811	Casey's General Store #2629 / Riverside	A	200 E 1st St	Riverside	IA	52327	POINT (-91.578314 41.480006)	10/01/2021
4524	Casey's General Store #1139 / Nora Springs	A	14 E Congress	Nora Springs	IA	50458	POINT (-93.005225 43.142731)	10/01/2021
6130	Hiway 20 Liquor and Tobacco / Fort Dodge	A	1724 5th Ave S	Fort Dodge	IA	50501	POINT (-94.173816 42.501131)	10/01/2021
